emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
👨🏼‍🦯,man with white cane: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9AF,hombre con baston blanco  tono de la piel de mediano luz,[hombre con baston blanco  tono de la piel de mediano luz]
👨🏽‍🦯,man with white cane: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9AF,hombre con baston blanco  tono de piel medio,[hombre con baston blanco  tono de piel medio]
👨🏾‍🦯,man with white cane: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9AF,hombre con blanco de cana  tono de piel medio-oscuro,[hombre con blanco de cana  tono de piel medio-oscuro]
👨🏿‍🦯,man with white cane: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9AF,hombre con baston blanco  tono de piel oscura,[hombre con baston blanco  tono de piel oscura]
👩‍🦯,woman with white cane,People & Body,person-activity,1F469 200D 1F9AF,mujer con baston blanco,[mujer con baston blanco]
👩🏻‍🦯,woman with white cane: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9AF,mujer con baston blanco  tono de piel clara,[mujer con baston blanco  tono de piel clara]
👩🏼‍🦯,woman with white cane: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9AF,mujer con baston blanco  tono de piel medio-luz,[mujer con baston blanco  tono de piel medio-luz]
👩🏽‍🦯,woman with white cane: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9AF,mujer con baston blanco  tono de piel medio,[mujer con baston blanco  tono de piel medio]
👩🏾‍🦯,woman with white cane: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9AF,mujer con baston blanco  tono de piel medio-oscuro,[mujer con baston blanco  tono de piel medio-oscuro]
👩🏿‍🦯,woman with white cane: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9AF,mujer con baston blanco  tono de piel oscura,[mujer con baston blanco  tono de piel oscura]
🧑‍🦼,person in motorized wheelchair,People & Body,person-activity,1F9D1 200D 1F9BC,persona en silla de ruedas motorizada,[persona en silla de ruedas motorizada]
🧑🏻‍🦼,person in motorized wheelchair: light skin tone,People & Body,person-activity,1F9D1 1F3FB 200D 1F9BC,persona en silla de ruedas motorizada  tono de piel clara,[persona en silla de ruedas motorizada  tono de piel clara]
🧑🏼‍🦼,person in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F9D1 1F3FC 200D 1F9BC,persona en silla de ruedas motorizada  tono de piel medio-luz,[persona en silla de ruedas motorizada  tono de piel medio-luz]
🧑🏽‍🦼,person in motorized wheelchair: medium skin tone,People & Body,person-activity,1F9D1 1F3FD 200D 1F9BC,persona en silla de ruedas motorizada  tono de piel medio,[persona en silla de ruedas motorizada  tono de piel medio]
🧑🏾‍🦼,person in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F9D1 1F3FE 200D 1F9BC,persona en silla de ruedas motorizada  tono de piel medio-oscuro,[persona en silla de ruedas motorizada  tono de piel medio-oscuro]
🧑🏿‍🦼,person in motorized wheelchair: dark skin tone,People & Body,person-activity,1F9D1 1F3FF 200D 1F9BC,persona en silla de ruedas motorizada  tono de piel oscura,[persona en silla de ruedas motorizada  tono de piel oscura]
👨‍🦼,man in motorized wheelchair,People & Body,person-activity,1F468 200D 1F9BC,hombre en silla de ruedas motorizada,[hombre en silla de ruedas motorizada]
👨🏻‍🦼,man in motorized wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BC,hombre en silla de ruedas motorizada  tono de piel clara,[hombre en silla de ruedas motorizada  tono de piel clara]
👨🏼‍🦼,man in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BC,hombre en silla de ruedas motorizada  tono de piel medio-luz,[hombre en silla de ruedas motorizada  tono de piel medio-luz]
👨🏽‍🦼,man in motorized wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BC,hombre en silla de ruedas motorizada  tono de piel medio,[hombre en silla de ruedas motorizada  tono de piel medio]
👨🏾‍🦼,man in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BC,hombre en silla de ruedas motorizada  tono de piel medio-oscuro,[hombre en silla de ruedas motorizada  tono de piel medio-oscuro]
👨🏿‍🦼,man in motorized wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BC,hombre en silla de ruedas motorizada  tono de piel oscura,[hombre en silla de ruedas motorizada  tono de piel oscura]
👩‍🦼,woman in motorized wheelchair,People & Body,person-activity,1F469 200D 1F9BC,mujer en silla de ruedas motorizada,[mujer en silla de ruedas motorizada]
👩🏻‍🦼,woman in motorized wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BC,mujer en silla de ruedas motorizada  tono de piel clara,[mujer en silla de ruedas motorizada  tono de piel clara]
👩🏼‍🦼,woman in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BC,mujer en silla de ruedas motorizada  tono de piel medio-luz,[mujer en silla de ruedas motorizada  tono de piel medio-luz]
👩🏽‍🦼,woman in motorized wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BC,mujer en silla de ruedas motorizada  tono de piel medio,[mujer en silla de ruedas motorizada  tono de piel medio]
👩🏾‍🦼,woman in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BC,mujer en silla de ruedas motorizada  tono de piel medio-oscuro,[mujer en silla de ruedas motorizada  tono de piel medio-oscuro]
👩🏿‍🦼,woman in motorized wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BC,mujer en silla de ruedas motorizada  tono de piel oscura,[mujer en silla de ruedas motorizada  tono de piel oscura]
🧑‍🦽,person in manual wheelchair,People & Body,person-activity,1F9D1 200D 1F9BD,persona en silla de ruedas manual,[persona en silla de ruedas manual]
🧑🏻‍🦽,person in manual wheelchair: light skin tone,People & Body,person-activity,1F9D1 1F3FB 200D 1F9BD,persona en silla de ruedas manual  tono de piel clara,[persona en silla de ruedas manual  tono de piel clara]
🧑🏼‍🦽,person in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F9D1 1F3FC 200D 1F9BD,persona en silla de ruedas manual  tono de la piel de mediano luz,[persona en silla de ruedas manual  tono de la piel de mediano luz]
🧑🏽‍🦽,person in manual wheelchair: medium skin tone,People & Body,person-activity,1F9D1 1F3FD 200D 1F9BD,persona en silla de ruedas manual  tono de piel medio,[persona en silla de ruedas manual  tono de piel medio]
🧑🏾‍🦽,person in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F9D1 1F3FE 200D 1F9BD,persona en el manual de la silla de ruedas  tono de piel medio-oscuro,[persona en el manual de la silla de ruedas  tono de piel medio-oscuro]
🧑🏿‍🦽,person in manual wheelchair: dark skin tone,People & Body,person-activity,1F9D1 1F3FF 200D 1F9BD,persona en silla de ruedas manual  tono de piel oscura,[persona en silla de ruedas manual  tono de piel oscura]
👨‍🦽,man in manual wheelchair,People & Body,person-activity,1F468 200D 1F9BD,hombre en silla de ruedas manual,[hombre en silla de ruedas manual]
👨🏻‍🦽,man in manual wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BD,hombre en silla de ruedas manual  tono de piel clara,[hombre en silla de ruedas manual  tono de piel clara]
👨🏼‍🦽,man in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BD,hombre en silla de ruedas manual  tono de la piel de mediano luz,[hombre en silla de ruedas manual  tono de la piel de mediano luz]
👨🏽‍🦽,man in manual wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BD,hombre en silla de ruedas manual  tono de piel medio,[hombre en silla de ruedas manual  tono de piel medio]
👨🏾‍🦽,man in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BD,hombre en silla de ruedas manual  tono de piel medio-oscuro,[hombre en silla de ruedas manual  tono de piel medio-oscuro]
👨🏿‍🦽,man in manual wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BD,hombre en silla de ruedas manual  tono de piel oscura,[hombre en silla de ruedas manual  tono de piel oscura]
👩‍🦽,woman in manual wheelchair,People & Body,person-activity,1F469 200D 1F9BD,mujer en silla de ruedas manual,[mujer en silla de ruedas manual]
👩🏻‍🦽,woman in manual wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BD,mujer en silla de ruedas manual  tono de piel clara,[mujer en silla de ruedas manual  tono de piel clara]
👩🏼‍🦽,woman in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BD,mujer en silla de ruedas manual  el tono de piel medio-luz,[mujer en silla de ruedas manual  el tono de piel medio-luz]
👩🏽‍🦽,woman in manual wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BD,mujer en silla de ruedas manual  tono de piel medio,[mujer en silla de ruedas manual  tono de piel medio]
👩🏾‍🦽,woman in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BD,mujer en silla de ruedas manual  el tono de piel medio-oscuro,[mujer en silla de ruedas manual  el tono de piel medio-oscuro]
👩🏿‍🦽,woman in manual wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BD,mujer en silla de ruedas manual  tono de piel oscura,[mujer en silla de ruedas manual  tono de piel oscura]
🏃,person running,People & Body,person-activity,1F3C3,persona que se ejecuta,[persona que se ejecuta]
🏃🏻,person running: light skin tone,People & Body,person-activity,1F3C3 1F3FB,persona que se ejecuta  tono de piel clara,[persona que se ejecuta  tono de piel clara]
🏃🏼,person running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC,tono de piel medio-luz  persona que se ejecuta,[tono de piel medio-luz  persona que se ejecuta]
🏃🏽,person running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD,persona que se ejecuta  tono de piel medio,[persona que se ejecuta  tono de piel medio]
🏃🏾,person running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE,persona que ejecuta  tono de piel medio-oscuro,[persona que ejecuta  tono de piel medio-oscuro]
🏃🏿,person running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF,persona que se ejecuta  tono de piel oscura,[persona que se ejecuta  tono de piel oscura]
🏃‍♂️,man running,People & Body,person-activity,1F3C3 200D 2642 FE0F,que corria;,[que corria;]
🏃‍♂,man running,People & Body,person-activity,1F3C3 200D 2642,que corria;,[que corria;]
🏃🏻‍♂️,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642 FE0F,que corria tono de piel clara,[que corria tono de piel clara]
🏃🏻‍♂,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642,que corria tono de piel clara,[que corria tono de piel clara]
🏃🏼‍♂️,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642 FE0F,tono de piel medio-luz  funcionamiento del hombre,[tono de piel medio-luz  funcionamiento del hombre]
🏃🏼‍♂,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642,tono de piel medio-luz  funcionamiento del hombre,[tono de piel medio-luz  funcionamiento del hombre]
🏃🏽‍♂️,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642 FE0F,que corria tono de piel medio,[que corria tono de piel medio]
🏃🏽‍♂,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642,que corria tono de piel medio,[que corria tono de piel medio]
🏃🏾‍♂️,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642 FE0F,hombre que corre  tono de piel medio-oscuro,[hombre que corre  tono de piel medio-oscuro]
🏃🏾‍♂,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642,hombre que corre  tono de piel medio-oscuro,[hombre que corre  tono de piel medio-oscuro]
🏃🏿‍♂️,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642 FE0F,que corria tono de piel oscura,[que corria tono de piel oscura]
🏃🏿‍♂,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642,que corria tono de piel oscura,[que corria tono de piel oscura]
🏃‍♀️,woman running,People & Body,person-activity,1F3C3 200D 2640 FE0F,mujer corriente,[mujer corriente]
🏃‍♀,woman running,People & Body,person-activity,1F3C3 200D 2640,mujer corriente,[mujer corriente]
🏃🏻‍♀️,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640 FE0F,mujer corriente  tono de piel clara,[mujer corriente  tono de piel clara]
🏃🏻‍♀,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640,mujer corriente  tono de piel clara,[mujer corriente  tono de piel clara]
🏃🏼‍♀️,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640 FE0F,tono de piel medio-luz  mujer corriente,[tono de piel medio-luz  mujer corriente]
🏃🏼‍♀,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640,tono de piel medio-luz  mujer corriente,[tono de piel medio-luz  mujer corriente]
🏃🏽‍♀️,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640 FE0F,mujer corriente  tono de piel medio,[mujer corriente  tono de piel medio]
🏃🏽‍♀,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640,mujer corriente  tono de piel medio,[mujer corriente  tono de piel medio]
🏃🏾‍♀️,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640 FE0F,funcionamiento de la mujer  tono de piel medio-oscuro,[funcionamiento de la mujer  tono de piel medio-oscuro]
🏃🏾‍♀,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640,funcionamiento de la mujer  tono de piel medio-oscuro,[funcionamiento de la mujer  tono de piel medio-oscuro]
🏃🏿‍♀️,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640 FE0F,mujer corriente  tono de piel oscura,[mujer corriente  tono de piel oscura]
🏃🏿‍♀,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640,mujer corriente  tono de piel oscura,[mujer corriente  tono de piel oscura]
💃,woman dancing,People & Body,person-activity,1F483,baile de la mujer,[baile de la mujer]
💃🏻,woman dancing: light skin tone,People & Body,person-activity,1F483 1F3FB,baile de la mujer  tono de piel clara,[baile de la mujer  tono de piel clara]
💃🏼,woman dancing: medium-light skin tone,People & Body,person-activity,1F483 1F3FC,mujer bailando  tono de piel medio-luz,[mujer bailando  tono de piel medio-luz]
💃🏽,woman dancing: medium skin tone,People & Body,person-activity,1F483 1F3FD,baile de la mujer  tono de piel medio,[baile de la mujer  tono de piel medio]
💃🏾,woman dancing: medium-dark skin tone,People & Body,person-activity,1F483 1F3FE,mujer bailando  tono de piel medio-oscuro,[mujer bailando  tono de piel medio-oscuro]
💃🏿,woman dancing: dark skin tone,People & Body,person-activity,1F483 1F3FF,mujer bailando  tono de piel oscura,[mujer bailando  tono de piel oscura]
🕺,man dancing,People & Body,person-activity,1F57A,baile del hombre,[baile del hombre]
🕺🏻,man dancing: light skin tone,People & Body,person-activity,1F57A 1F3FB,baile del hombre  el tono de piel clara,[baile del hombre  el tono de piel clara]
🕺🏼,man dancing: medium-light skin tone,People & Body,person-activity,1F57A 1F3FC,baile del hombre  el tono de piel medio-luz,[baile del hombre  el tono de piel medio-luz]
🕺🏽,man dancing: medium skin tone,People & Body,person-activity,1F57A 1F3FD,baile del hombre  tono de piel medio,[baile del hombre  tono de piel medio]
🕺🏾,man dancing: medium-dark skin tone,People & Body,person-activity,1F57A 1F3FE,baile del hombre  el tono de piel medio-oscuro,[baile del hombre  el tono de piel medio-oscuro]
🕺🏿,man dancing: dark skin tone,People & Body,person-activity,1F57A 1F3FF,baile del hombre  tono de piel oscura,[baile del hombre  tono de piel oscura]
🕴️,person in suit levitating,People & Body,person-activity,1F574 FE0F,persona con traje de levitacion,[persona con traje de levitacion]
🕴,person in suit levitating,People & Body,person-activity,1F574,persona con traje de levitacion,[persona con traje de levitacion]
🕴🏻,person in suit levitating: light skin tone,People & Body,person-activity,1F574 1F3FB,persona con traje de levitacion  tono de piel clara,[persona con traje de levitacion  tono de piel clara]
🕴🏼,person in suit levitating: medium-light skin tone,People & Body,person-activity,1F574 1F3FC,persona con traje de levitacion  tono de piel medio-luz,[persona con traje de levitacion  tono de piel medio-luz]
🕴🏽,person in suit levitating: medium skin tone,People & Body,person-activity,1F574 1F3FD,persona con traje de levitacion  tono de piel medio,[persona con traje de levitacion  tono de piel medio]
🕴🏾,person in suit levitating: medium-dark skin tone,People & Body,person-activity,1F574 1F3FE,persona con traje de levitacion  tono de piel medio-oscuro,[persona con traje de levitacion  tono de piel medio-oscuro]
🕴🏿,person in suit levitating: dark skin tone,People & Body,person-activity,1F574 1F3FF,persona con traje de levitacion  tono de piel oscura,[persona con traje de levitacion  tono de piel oscura]
👯,people with bunny ears,People & Body,person-activity,1F46F,las personas con orejas de conejo,[las personas con orejas de conejo]
👯‍♂️,men with bunny ears,People & Body,person-activity,1F46F 200D 2642 FE0F,hombres con orejas de conejo,[hombres con orejas de conejo]
👯‍♂,men with bunny ears,People & Body,person-activity,1F46F 200D 2642,hombres con orejas de conejo,[hombres con orejas de conejo]
👯‍♀️,women with bunny ears,People & Body,person-activity,1F46F 200D 2640 FE0F,mujeres con orejas de conejo,[mujeres con orejas de conejo]
👯‍♀,women with bunny ears,People & Body,person-activity,1F46F 200D 2640,mujeres con orejas de conejo,[mujeres con orejas de conejo]
🧖,person in steamy room,People & Body,person-activity,1F9D6,persona en la habitacion con vapor,[persona en la habitacion con vapor]
🧖🏻,person in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB,persona en la habitacion con vapor  tono de piel clara,[persona en la habitacion con vapor  tono de piel clara]
🧖🏼,person in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC,persona en la habitacion con vapor  tono de piel medio-luz,[persona en la habitacion con vapor  tono de piel medio-luz]
🧖🏽,person in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD,persona en la habitacion con vapor  tono de piel medio,[persona en la habitacion con vapor  tono de piel medio]
🧖🏾,person in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE,persona en la habitacion con vapor  tono de piel medio-oscuro,[persona en la habitacion con vapor  tono de piel medio-oscuro]
🧖🏿,person in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF,persona en la habitacion con vapor  tono de piel oscura,[persona en la habitacion con vapor  tono de piel oscura]
🧖‍♂️,man in steamy room,People & Body,person-activity,1F9D6 200D 2642 FE0F,hombre en habitacion con vapor,[hombre en habitacion con vapor]
🧖‍♂,man in steamy room,People & Body,person-activity,1F9D6 200D 2642,hombre en habitacion con vapor,[hombre en habitacion con vapor]
🧖🏻‍♂️,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642 FE0F,hombre en habitacion con vapor  tono de piel clara,[hombre en habitacion con vapor  tono de piel clara]
🧖🏻‍♂,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642,hombre en habitacion con vapor  tono de piel clara,[hombre en habitacion con vapor  tono de piel clara]
🧖🏼‍♂️,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642 FE0F,hombre en habitacion con vapor  tono de piel medio-luz,[hombre en habitacion con vapor  tono de piel medio-luz]
🧖🏼‍♂,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642,hombre en habitacion con vapor  tono de piel medio-luz,[hombre en habitacion con vapor  tono de piel medio-luz]
🧖🏽‍♂️,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642 FE0F,hombre en habitacion con vapor  tono de piel medio,[hombre en habitacion con vapor  tono de piel medio]
🧖🏽‍♂,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642,hombre en habitacion con vapor  tono de piel medio,[hombre en habitacion con vapor  tono de piel medio]
🧖🏾‍♂️,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642 FE0F,hombre en habitacion con vapor  tono de piel medio-oscuro,[hombre en habitacion con vapor  tono de piel medio-oscuro]
🧖🏾‍♂,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642,hombre en habitacion con vapor  tono de piel medio-oscuro,[hombre en habitacion con vapor  tono de piel medio-oscuro]
🧖🏿‍♂️,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642 FE0F,hombre en habitacion con vapor  tono de piel oscura,[hombre en habitacion con vapor  tono de piel oscura]
🧖🏿‍♂,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642,hombre en habitacion con vapor  tono de piel oscura,[hombre en habitacion con vapor  tono de piel oscura]
🧖‍♀️,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640 FE0F,mujer en habitacion con vapor,[mujer en habitacion con vapor]
🧖‍♀,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640,mujer en habitacion con vapor,[mujer en habitacion con vapor]
🧖🏻‍♀️,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640 FE0F,mujer en el cuarto de vapor  tono de piel clara,[mujer en el cuarto de vapor  tono de piel clara]
🧖🏻‍♀,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640,mujer en el cuarto de vapor  tono de piel clara,[mujer en el cuarto de vapor  tono de piel clara]
🧖🏼‍♀️,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640 FE0F,mujer en el cuarto de vapor  el tono de piel medio-luz,[mujer en el cuarto de vapor  el tono de piel medio-luz]
🧖🏼‍♀,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640,mujer en el cuarto de vapor  el tono de piel medio-luz,[mujer en el cuarto de vapor  el tono de piel medio-luz]
🧖🏽‍♀️,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640 FE0F,mujer en el cuarto de vapor  tono de piel medio,[mujer en el cuarto de vapor  tono de piel medio]
🧖🏽‍♀,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640,mujer en el cuarto de vapor  tono de piel medio,[mujer en el cuarto de vapor  tono de piel medio]
🧖🏾‍♀️,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640 FE0F,mujer en el cuarto de vapor  el tono de piel medio-oscuro,[mujer en el cuarto de vapor  el tono de piel medio-oscuro]
🧖🏾‍♀,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640,mujer en el cuarto de vapor  el tono de piel medio-oscuro,[mujer en el cuarto de vapor  el tono de piel medio-oscuro]
🧖🏿‍♀️,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640 FE0F,mujer en el cuarto de vapor  tono de piel oscura,[mujer en el cuarto de vapor  tono de piel oscura]
🧖🏿‍♀,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640,mujer en el cuarto de vapor  tono de piel oscura,[mujer en el cuarto de vapor  tono de piel oscura]
🧗,person climbing,People & Body,person-activity,1F9D7,persona que sube,[persona que sube]
🧗🏻,person climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB,persona que sube  tono de piel clara,[persona que sube  tono de piel clara]
🧗🏼,person climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC,persona escalada  tono de la piel de mediano luz,[persona escalada  tono de la piel de mediano luz]
🧗🏽,person climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD,persona escalada  tono de piel medio,[persona escalada  tono de piel medio]
🧗🏾,person climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE,persona escalada  tono de piel medio-oscuro,[persona escalada  tono de piel medio-oscuro]
🧗🏿,person climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF,persona que sube  tono de piel oscura,[persona que sube  tono de piel oscura]
🧗‍♂️,man climbing,People & Body,person-activity,1F9D7 200D 2642 FE0F,hombre que sube,[hombre que sube]
🧗‍♂,man climbing,People & Body,person-activity,1F9D7 200D 2642,hombre que sube,[hombre que sube]
🧗🏻‍♂️,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642 FE0F,hombre que sube  tono de piel clara,[hombre que sube  tono de piel clara]
🧗🏻‍♂,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642,hombre que sube  tono de piel clara,[hombre que sube  tono de piel clara]
🧗🏼‍♂️,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642 FE0F,hombre de escalada  tono de la piel de mediano luz,[hombre de escalada  tono de la piel de mediano luz]
🧗🏼‍♂,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642,hombre de escalada  tono de la piel de mediano luz,[hombre de escalada  tono de la piel de mediano luz]
🧗🏽‍♂️,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642 FE0F,hombre de escalada  tono de piel medio,[hombre de escalada  tono de piel medio]
🧗🏽‍♂,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642,hombre de escalada  tono de piel medio,[hombre de escalada  tono de piel medio]
🧗🏾‍♂️,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642 FE0F,hombre de escalada  tono de piel medio-oscuro,[hombre de escalada  tono de piel medio-oscuro]
🧗🏾‍♂,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642,hombre de escalada  tono de piel medio-oscuro,[hombre de escalada  tono de piel medio-oscuro]
🧗🏿‍♂️,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642 FE0F,hombre que sube  tono de piel oscura,[hombre que sube  tono de piel oscura]
🧗🏿‍♂,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642,hombre que sube  tono de piel oscura,[hombre que sube  tono de piel oscura]
🧗‍♀️,woman climbing,People & Body,person-activity,1F9D7 200D 2640 FE0F,mujer de escalada,[mujer de escalada]
🧗‍♀,woman climbing,People & Body,person-activity,1F9D7 200D 2640,mujer de escalada,[mujer de escalada]
🧗🏻‍♀️,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640 FE0F,mujer de escalada  tono de piel clara,[mujer de escalada  tono de piel clara]
🧗🏻‍♀,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640,mujer de escalada  tono de piel clara,[mujer de escalada  tono de piel clara]
🧗🏼‍♀️,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640 FE0F,mujer de escalada  tono de piel medio-luz,[mujer de escalada  tono de piel medio-luz]
🧗🏼‍♀,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640,mujer de escalada  tono de piel medio-luz,[mujer de escalada  tono de piel medio-luz]
🧗🏽‍♀️,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640 FE0F,mujer de escalada  tono de piel medio,[mujer de escalada  tono de piel medio]
🧗🏽‍♀,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640,mujer de escalada  tono de piel medio,[mujer de escalada  tono de piel medio]
